Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Exp_Prob                 
850000                   1.1301154547929764       900001                   10.7                     451.6                    10                       8.703702926635742        456.88897705078125       108                      0.005067532882094383     0.18999909999999998      
900000                   1.1914722080363167       950001                   13.1                     522.3                    10                       9.12264347076416         469.00006103515625       106                      0.004009884316474199     0.14499910000000002      
950000                   1.2536934157212576       1000001                  19.4                     668.2                    10                       11.25274658203125        548.0988159179688        91                       0.010905813425779343     0.1                      
1000000                  1.3176747160487705       1050001                  17.3                     1520.9                   10                       13.14457893371582        600.9639892578125        83                       0.008418588899075985     0.1                      
1050000                  1.3799298806322946       1100001                  14.8                     595.3                    10                       12.678568840026855       590.8092651367188        84                       0.003565517021343112     0.1                      
1100000                  1.4422250552309883       1150001                  16.7                     693.8                    10                       13.265059471130371       598.1085205078125        83                       0.01081924606114626      0.1                      
1150000                  1.5037783596250747       1200001                  20.2                     717.0                    10                       14.294869422912598       635.6409912109375        78                       0.004278895445168018     0.1                      
1200000                  1.5655041698614756       1250001                  22.8                     676.9                    10                       14.207792282104492       640.999755859375         77                       0.004430748522281647     0.1                      
1250000                  1.6270855787065295       1300001                  22.9                     754.6                    10                       14.115385055541992       636.1410522460938        78                       0.002537143649533391     0.1                      
1300000                  1.68832770049572         1350001                  18.2                     659.4                    10                       15.666664123535156       685.6668090820312        72                       0.008475433103740215     0.1                      
1350000                  1.7492409192853504       1400001                  18.1                     673.5                    10                       16.30986213684082        703.11279296875          71                       0.005072486586868763     0.1                      
1400000                  1.8103414219617844       1450001                  21.8                     758.5                    10                       15.333331108093262       662.320068359375         75                       0.0045063430443406105    0.1                      
1450000                  1.8715254153145684       1500001                  23.6                     821.0                    10                       15.616437911987305       682.60302734375          73                       0.006929493509232998     0.1                      
1500000                  1.9348353311750623       1550001                  29.2                     834.4                    10                       16.37143325805664        712.1430053710938        70                       0.007936427369713783     0.1                      
1550000                  1.99588893658585         1600001                  14.9                     603.2                    10                       17.784618377685547       757.9384155273438        65                       0.003234973642975092     0.1                      
1600000                  2.0573330184486176       1650001                  20.9                     737.6                    10                       19.78334617614746        822.066650390625         60                       0.011398984119296074     0.1                      
1650000                  2.118599826428625        1700001                  22.6                     702.9                    10                       17.830774307250977       756.677001953125         65                       0.006341138854622841     0.1                      
1700000                  2.1812783665127222       1750001                  34.2                     1020.6                   10                       19.064516067504883       802.0322875976562        62                       0.011558428406715393     0.1                      
1750000                  2.243881334728665        1800001                  25.0                     775.3                    10                       18.60938262939453        775.6251831054688        64                       0.0032704737968742847    0.1                      
1800000                  2.306671154896418        1850001                  27.4                     960.9                    10                       19.426231384277344       810.9508056640625        61                       0.002862881403416395     0.1                      
1850000                  2.3689978548553254       1900001                  21.0                     731.8                    10                       19.327871322631836       808.4429321289062        61                       0.00296367728151381      0.1                      
1900000                  2.4315564043654336       1950001                  20.3                     850.8                    10                       19.85000228881836        832.6666259765625        60                       0.006964579690247774     0.1                      
1950000                  2.4930380648374557       2000001                  22.4                     731.7                    10                       18.421876907348633       773.2189331054688        64                       0.00971271563321352      0.1                      
2000000                  2.5555474841594696       2050001                  35.7                     1033.9                   10                       19.77419662475586        801.2744140625           62                       0.00784609280526638      0.1                      
2050000                  2.6174073192808365       2100001                  25.7                     879.4                    10                       19.25806999206543        803.5323486328125        62                       0.0035840242635458708    0.1                      
2100000                  2.6830760740571553       2150001                  29.0                     2513.0                   10                       19.80000114440918        824.9335327148438        60                       0.010947666130959988     0.1                      
2150000                  2.7444831277264488       2200001                  31.0                     813.6                    10                       20.89474105834961        860.1229248046875        57                       0.00416636373847723      0.1                      
2200000                  2.806615681052208        2250001                  37.7                     1004.3                   10                       22.254545211791992       902.39990234375          55                       0.0038032722659409046    0.1                      
2250000                  2.868195033934381        2300001                  29.7                     857.2                    10                       20.999996185302734       856.1036376953125        58                       0.004448586143553257     0.1                      
2300000                  2.930153057641453        2350001                  35.6                     865.8                    10                       20.724136352539062       850.1724243164062        58                       0.0043408628553152084    0.1                      
2350000                  2.9925437390804293       2400001                  36.8                     1001.1                   10                       21.59649085998535        874.9824829101562        57                       0.007250271737575531     0.1                      
2400000                  3.054897537165218        2450001                  38.3                     1026.3                   10                       21.50878143310547        870.4208374023438        57                       0.006508834660053253     0.1                      
2450000                  3.1168972803486716       2500001                  32.1                     951.8                    10                       22.43636703491211        908.3818359375           55                       0.009469298645853996     0.1                      
2500000                  3.1796845296356415       2550001                  43.6                     1116.2                   10                       20.576274871826172       832.677978515625         59                       0.0023362385109066963    0.1                      
2550000                  3.241723969048924        2600001                  36.6                     921.9                    10                       21.491235733032227       865.0001220703125        57                       0.006451643072068691     0.1                      
2600000                  3.304085293478436        2650001                  46.8                     1079.3                   10                       21.91071128845215        889.9464721679688        56                       0.0028304026927798986    0.1                      
2650000                  3.3661283753315607       2700001                  32.3                     935.2                    10                       21.4310359954834         860.6898193359375        58                       0.003446199232712388     0.1                      
2700000                  3.4281885146432454       2750001                  35.4                     965.8                    10                       23.77358627319336        939.5286254882812        53                       0.004998382646590471     0.1                      
2750000                  3.4897344865401587       2800001                  32.7                     904.0                    10                       24.66666603088379        962.6861572265625        51                       0.0031433715485036373    0.1                      
2800000                  3.552000331348843        2850001                  50.0                     1149.4                   10                       25.640003204345703       994.3800659179688        50                       0.004950372036546469     0.1                      
2850000                  3.6150998879803553       2900001                  39.5                     1046.0                   10                       22.76363754272461        907.9092407226562        55                       0.004797755740582943     0.1                      
2900000                  3.67842869732115         2950001                  49.7                     1223.4                   10                       24.576921463012695       955.1924438476562        52                       0.011736449785530567     0.1                      
