Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Exp_Prob                 
1950000                  2.453422852423456        2000001                  16.9                     1962.0                   10                       4.533332824707031        3269.0                   15                       0.0026344384532421827    0.1                      
2000000                  2.515462340182728        2050001                  17.4                     1930.8                   10                       3.0                      3134.400146484375        15                       0.0031604189425706863    0.1                      
2050000                  2.5766499492194916       2100001                  20.5                     1636.0                   10                       5.466666221618652        3272.33349609375         15                       0.003894990775734186     0.1                      
2100000                  2.638485736317105        2150001                  19.7                     1768.5                   10                       9.705883979797363        2908.294189453125        17                       0.006008937954902649     0.1                      
2150000                  2.7008018844657475       2200001                  15.3                     2120.1                   10                       10.55555534362793        2676.83349609375         18                       0.0034709207247942686    0.1                      
2200000                  2.762258102099101        2250001                  20.9                     1691.0                   10                       6.764706611633301        2916.176513671875        17                       0.001762445317581296     0.1                      
2250000                  2.8256413033273486       2300001                  11.7                     2555.8                   10                       9.250000953674316        2951.000244140625        16                       0.0033261077478528023    0.1                      
2300000                  2.8928808345397314       2350001                  17.3                     4305.2                   10                       6.937500953674316        3076.750244140625        16                       0.0031698765233159065    0.1                      
2350000                  2.954801862769657        2400001                  17.9                     1867.8                   10                       6.266666412353516        3289.067138671875        15                       0.0075913649052381516    0.1                      
2400000                  3.0168070401085747       2450001                  17.5                     1905.2                   10                       10.647059440612793       2794.470703125           17                       0.007971502840518951     0.1                      
2450000                  3.078157330751419        2500001                  19.7                     1762.2                   10                       12.111111640930176       2757.72216796875         18                       0.003242576029151678     0.1                      
2500000                  3.140535445544455        2550001                  18.8                     2083.5                   10                       11.999999046325684       2763.444091796875        18                       0.0018603747012093663    0.1                      
2550000                  3.2020949799484675       2600001                  18.8                     1708.7                   10                       12.333331108093262       2674.88916015625         18                       0.0033951709046959877    0.1                      
2600000                  3.2636117236481774       2650001                  19.3                     1780.2                   10                       10.529412269592285       2834.000244140625        17                       0.0025802738964557648    0.1                      
2650000                  3.3250644902388253       2700001                  19.1                     1653.7                   10                       12.058823585510254       2838.412109375           17                       0.0029152464121580124    0.1                      
2700000                  3.3868724250131184       2750001                  19.1                     1794.9                   10                       12.666668891906738       2718.444580078125        18                       0.0069468640722334385    0.1                      
2750000                  3.4484200314680735       2800001                  19.8                     1629.2                   10                       13.578948974609375       2582.73681640625         19                       0.0022553661838173866    0.1                      
2800000                  3.5113075274891323       2850001                  16.2                     2342.9                   10                       10.833333969116211       2731.0                   18                       0.0019179442897439003    0.1                      
2850000                  3.5732905691862107       2900001                  17.9                     1904.3                   10                       10.61111068725586        2710.94482421875         18                       0.002501758746802807     0.1                      
2900000                  3.6349441535605322       2950001                  19.5                     1843.9                   10                       11.11111068725586        2748.222412109375        18                       0.0015432477230206132    0.1                      
2950000                  3.69627776046594         3000001                  18.7                     1620.4                   10                       11.777777671813965       2703.888671875           18                       0.002364496933296323     0.1                      
3000000                  3.758287430935436        3050001                  18.2                     1934.9                   10                       13.210524559020996       2573.63134765625         19                       0.00465440982952714      0.1                      
3050000                  3.8198015181885827       3100001                  18.5                     1579.6                   10                       13.949999809265137       2407.0498046875          20                       0.0037619341164827347    0.1                      
3100000                  3.881539693143633        3150001                  18.4                     1711.9                   10                       14.149998664855957       2452.25                  20                       0.0016896910965442657    0.1                      
3150000                  3.9428747995032203       3200001                  19.8                     1623.8                   10                       13.105264663696289       2578.73681640625         19                       0.001283231540583074     0.1                      
3200000                  4.004657181368934        3250001                  18.5                     1843.1                   10                       12.684211730957031       2585.36865234375         19                       0.0017236447893083096    0.1                      
3250000                  4.066599126127031        3300001                  17.7                     1848.3                   10                       13.052633285522461       2571.052734375           19                       0.0017529091564938426    0.1                      
3300000                  4.127766650782691        3350001                  18.7                     1529.7                   10                       13.444443702697754       2650.500244140625        18                       0.002594852354377508     0.1                      
3350000                  4.189412669473224        3400001                  19.0                     1726.0                   10                       13.315790176391602       2581.684326171875        19                       0.002193957334384322     0.1                      
3400000                  4.251474235985015        3450001                  16.4                     1975.0                   10                       13.263157844543457       2515.736572265625        19                       0.002117651980370283     0.1                      
3450000                  4.312990998294619        3500001                  18.0                     1616.4                   10                       15.199999809265137       2357.35009765625         20                       0.0026758606545627117    0.1                      
3500000                  4.374720108906428        3550001                  17.1                     1719.3                   10                       15.000000953674316       2313.28564453125         21                       0.003654081840068102     0.1                      
3550000                  4.43606585363547         3600001                  17.9                     1615.3                   10                       14.000000953674316       2397.599853515625        20                       0.002501082606613636     0.1                      
3600000                  4.497434657348527        3650001                  19.9                     1681.6                   10                       14.571428298950195       2341.190185546875        21                       0.0014298238093033433    0.1                      
3650000                  4.559060796631707        3700001                  18.8                     1755.7                   10                       13.299999237060547       2452.60009765625         20                       0.0036406726576387882    0.1                      
3700000                  4.620073338217206        3750001                  18.1                     1551.3                   10                       15.476190567016602       2300.809814453125        21                       0.0017255304846912622    0.1                      
3750000                  4.681597669455741        3800001                  18.9                     1632.2                   10                       14.333333015441895       2321.905029296875        21                       0.0015502874739468098    0.1                      
3800000                  4.7436144178443485       3850001                  19.1                     1782.3                   10                       12.350000381469727       2479.550048828125        20                       0.002301223576068878     0.1                      
3850000                  4.805103921625349        3900001                  19.7                     1696.1                   10                       14.285714149475098       2362.381103515625        21                       0.0015534731792286038    0.1                      
3900000                  4.866787043611208        3950001                  19.1                     1597.3                   10                       16.18181800842285        2205.99951171875         22                       0.001949111931025982     0.1                      
